time,amplitude
0.000000,0
0.000023,38
0.000045,76
0.000068,114
0.000091,152
0.000113,190
0.000136,229
0.000159,267
0.000181,305
0.000204,343
0.000227,381
0.000249,419
0.000272,458
0.000295,496
0.000317,534
0.000340,572
0.000363,610
0.000385,648
0.000408,686
0.000431,725
0.000454,763
0.000476,801
0.000499,839
0.000522,877
0.000544,915
0.000567,954
0.000590,992
0.000612,1030
0.000635,1068
0.000658,1106
0.000680,1144
0.000703,1182
0.000726,1221
0.000748,1259
0.000771,1297
0.000794,1335
0.000816,1373
0.000839,1411
0.000862,1449
0.000884,1488
0.000907,1526
0.000930,1564
0.000952,1602
0.000975,1640
0.000998,1678
0.001020,1716
0.001043,1754
0.001066,1793
0.001088,1831
0.001111,1869
0.001134,1907
0.001156,1945
0.001179,1983
0.001202,2021
0.001224,2059
0.001247,2097
0.001270,2135
0.001293,2174
0.001315,2212
0.001338,2250
0.001361,2288
0.001383,2326
0.001406,2364
0.001429,2402
0.001451,2440
0.001474,2478
0.001497,2516
0.001519,2554
0.001542,2592
0.001565,2630
0.001587,2668
0.001610,2706
0.001633,2744
0.001655,2782
0.001678,2820
0.001701,2859
0.001723,2897
0.001746,2935
0.001769,2973
0.001791,3011
0.001814,3049
0.001837,3087
0.001859,3125
0.001882,3163
0.001905,3201
0.001927,3239
0.001950,3277
0.001973,3315
0.001995,3352
0.002018,3390
0.002041,3428
0.002063,3466
0.002086,3504
0.002109,3542
0.002132,3580
0.002154,3618
0.002177,3656
0.002200,3694
0.002222,3732
0.002245,3770
0.002268,3808
0.002290,3846
0.002313,3884
0.002336,3921
0.002358,3959
0.002381,3997
0.002404,4035
0.002426,4073
0.002449,4111
0.002472,4149
0.002494,4187
0.002517,4224
0.002540,4262
0.002562,4300
0.002585,4338
0.002608,4376
0.002630,4414
0.002653,4451
0.002676,4489
0.002698,4527
0.002721,4565
0.002744,4603
0.002766,4640
0.002789,4678
0.002812,4716
0.002834,4754
0.002857,4792
0.002880,4829
0.002902,4867
0.002925,4905
0.002948,4942
0.002971,4980
0.002993,5018
0.003016,5056
0.003039,5093
0.003061,5131
0.003084,5169
0.003107,5206
0.003129,5244
0.003152,5282
0.003175,5319
0.003197,5357
0.003220,5395
0.003243,5432
0.003265,5470
0.003288,5508
0.003311,5545
0.003333,5583
0.003356,5621
0.003379,5658
0.003401,5696
0.003424,5733
0.003447,5771
0.003469,5808
0.003492,5846
0.003515,5884
0.003537,5921
0.003560,5959
0.003583,5996
0.003605,6034
0.003628,6071
0.003651,6109
0.003673,6146
0.003696,6184
0.003719,6221
0.003741,6259
0.003764,6296
0.003787,6334
0.003810,6371
0.003832,6408
0.003855,6446
0.003878,6483
0.003900,6521
0.003923,6558
0.003946,6595
0.003968,6633
0.003991,6670
0.004014,6708
0.004036,6745
0.004059,6782
0.004082,6820
0.004104,6857
0.004127,6894
0.004150,6932
0.004172,6969
0.004195,7006
0.004218,7043
0.004240,7081
0.004263,7118
0.004286,7155
0.004308,7193
0.004331,7230
0.004354,7267
0.004376,7304
0.004399,7341
0.004422,7379
0.004444,7416
0.004467,7453
0.004490,7490
0.004512,7527
0.004535,7564
0.004558,7602
0.004580,7639
0.004603,7676
0.004626,7713
0.004649,7750
0.004671,7787
0.004694,7824
0.004717,7861
0.004739,7898
0.004762,7935
0.004785,7972
0.004807,8009
0.004830,8046
0.004853,8083
0.004875,8120
0.004898,8157
0.004921,8194
0.004943,8231
0.004966,8268
0.004989,8305
0.005011,8342
0.005034,8379
0.005057,8416
0.005079,8453
0.005102,8489
0.005125,8526
0.005147,8563
0.005170,8600
0.005193,8637
0.005215,8674
0.005238,8710
0.005261,8747
0.005283,8784
0.005306,8821
0.005329,8858
0.005351,8894
0.005374,8931
0.005397,8968
0.005420,9004
0.005442,9041
0.005465,9078
0.005488,9114
0.005510,9151
0.005533,9188
0.005556,9224
0.005578,9261
0.005601,9298
0.005624,9334
0.005646,9371
0.005669,9407
0.005692,9444
0.005714,9480
0.005737,9517
0.005760,9554
0.005782,9590
0.005805,9627
0.005828,9663
0.005850,9699
0.005873,9736
0.005896,9772
0.005918,9809
0.005941,9845
0.005964,9882
0.005986,9918
0.006009,9954
0.006032,9991
0.006054,10027
0.006077,10063
0.006100,10100
0.006122,10136
0.006145,10172
0.006168,10209
0.006190,10245
0.006213,10281
0.006236,10317
0.006259,10354
0.006281,10390
0.006304,10426
0.006327,10462
0.006349,10498
0.006372,10534
0.006395,10571
0.006417,10607
0.006440,10643
0.006463,10679
0.006485,10715
0.006508,10751
0.006531,10787
0.006553,10823
0.006576,10859
0.006599,10895
0.006621,10931
0.006644,10967
0.006667,11003
0.006689,11039
0.006712,11075
0.006735,11111
0.006757,11147
0.006780,11183
0.006803,11218
0.006825,11254
0.006848,11290
0.006871,11326
0.006893,11362
0.006916,11398
0.006939,11433
0.006961,11469
0.006984,11505
0.007007,11541
0.007029,11576
0.007052,11612
0.007075,11648
0.007098,11683
0.007120,11719
0.007143,11755
0.007166,11790
0.007188,11826
0.007211,11861
0.007234,11897
0.007256,11933
0.007279,11968
0.007302,12004
0.007324,12039
0.007347,12075
0.007370,12110
0.007392,12146
0.007415,12181
0.007438,12216
0.007460,12252
0.007483,12287
0.007506,12323
0.007528,12358
0.007551,12393
0.007574,12429
0.007596,12464
0.007619,12499
0.007642,12535
0.007664,12570
0.007687,12605
0.007710,12640
0.007732,12675
0.007755,12711
0.007778,12746
0.007800,12781
0.007823,12816
0.007846,12851
0.007868,12886
0.007891,12921
0.007914,12956
0.007937,12992
0.007959,13027
0.007982,13062
0.008005,13097
0.008027,13132
0.008050,13167
0.008073,13201
0.008095,13236
0.008118,13271
0.008141,13306
0.008163,13341
0.008186,13376
0.008209,13411
0.008231,13446
0.008254,13480
0.008277,13515
0.008299,13550
0.008322,13585
0.008345,13619
0.008367,13654
0.008390,13689
0.008413,13723
0.008435,13758
0.008458,13793
0.008481,13827
0.008503,13862
0.008526,13896
0.008549,13931
0.008571,13966
0.008594,14000
0.008617,14035
0.008639,14069
0.008662,14104
0.008685,14138
0.008707,14172
0.008730,14207
0.008753,14241
0.008776,14276
0.008798,14310
0.008821,14344
0.008844,14379
0.008866,14413
0.008889,14447
0.008912,14481
0.008934,14516
0.008957,14550
0.008980,14584
0.009002,14618
0.009025,14652
0.009048,14686
0.009070,14721
0.009093,14755
0.009116,14789
0.009138,14823
0.009161,14857
0.009184,14891
0.009206,14925
0.009229,14959
0.009252,14993
0.009274,15027
0.009297,15061
0.009320,15094
0.009342,15128
0.009365,15162
0.009388,15196
0.009410,15230
0.009433,15264
0.009456,15297
0.009478,15331
0.009501,15365
0.009524,15398
0.009546,15432
0.009569,15466
0.009592,15499
0.009615,15533
0.009637,15567
0.009660,15600
0.009683,15634
0.009705,15667
0.009728,15701
0.009751,15734
0.009773,15768
0.009796,15801
0.009819,15835
0.009841,15868
0.009864,15901
0.009887,15935
0.009909,15968
0.009932,16001
0.009955,16035
0.009977,16068
0.010000,16101
0.010023,16135
0.010045,16168
0.010068,16201
0.010091,16234
0.010113,16267
0.010136,16300
0.010159,16333
0.010181,16367
0.010204,16400
0.010227,16433
0.010249,16466
0.010272,16499
0.010295,16532
0.010317,16565
0.010340,16597
0.010363,16630
0.010385,16663
0.010408,16696
0.010431,16729
0.010454,16762
0.010476,16795
0.010499,16827
0.010522,16860
0.010544,16893
0.010567,16925
0.010590,16958
0.010612,16991
0.010635,17023
0.010658,17056
0.010680,17089
0.010703,17121
0.010726,17154
0.010748,17186
0.010771,17219
0.010794,17251
0.010816,17284
0.010839,17316
0.010862,17348
0.010884,17381
0.010907,17413
0.010930,17445
0.010952,17478
0.010975,17510
0.010998,17542
0.011020,17574
0.011043,17607
0.011066,17639
0.011088,17671
0.011111,17703
0.011134,17735
0.011156,17767
0.011179,17799
0.011202,17831
0.011224,17863
0.011247,17895
0.011270,17927
0.011293,17959
0.011315,17991
0.011338,18023
0.011361,18055
0.011383,18087
0.011406,18119
0.011429,18150
0.011451,18182
0.011474,18214
0.011497,18246
0.011519,18277
0.011542,18309
0.011565,18341
0.011587,18372
0.011610,18404
0.011633,18435
0.011655,18467
0.011678,18498
0.011701,18530
0.011723,18561
0.011746,18593
0.011769,18624
0.011791,18656
0.011814,18687
0.011837,18718
0.011859,18750
0.011882,18781
0.011905,18812
0.011927,18843
0.011950,18875
0.011973,18906
0.011995,18937
0.012018,18968
0.012041,18999
0.012063,19030
0.012086,19061
0.012109,19092
0.012132,19123
0.012154,19154
0.012177,19185
0.012200,19216
0.012222,19247
0.012245,19278
0.012268,19309
0.012290,19340
0.012313,19371
0.012336,19401
0.012358,19432
0.012381,19463
0.012404,19493
0.012426,19524
0.012449,19555
0.012472,19585
0.012494,19616
0.012517,19647
0.012540,19677
0.012562,19708
0.012585,19738
0.012608,19769
0.012630,19799
0.012653,19829
0.012676,19860
0.012698,19890
0.012721,19920
0.012744,19951
0.012766,19981
0.012789,20011
0.012812,20041
0.012834,20072
0.012857,20102
0.012880,20132
0.012902,20162
0.012925,20192
0.012948,20222
0.012971,20252
0.012993,20282
0.013016,20312
0.013039,20342
0.013061,20372
0.013084,20402
0.013107,20432
0.013129,20461
0.013152,20491
0.013175,20521
0.013197,20551
0.013220,20580
0.013243,20610
0.013265,20640
0.013288,20669
0.013311,20699
0.013333,20729
0.013356,20758
0.013379,20788
0.013401,20817
0.013424,20847
0.013447,20876
0.013469,20905
0.013492,20935
0.013515,20964
0.013537,20994
0.013560,21023
0.013583,21052
0.013605,21081
0.013628,21111
0.013651,21140
0.013673,21169
0.013696,21198
0.013719,21227
0.013741,21256
0.013764,21285
0.013787,21314
0.013810,21343
0.013832,21372
0.013855,21401
0.013878,21430
0.013900,21459
0.013923,21488
0.013946,21516
0.013968,21545
0.013991,21574
0.014014,21603
0.014036,21631
0.014059,21660
0.014082,21689
0.014104,21717
0.014127,21746
0.014150,21774
0.014172,21803
0.014195,21831
0.014218,21860
0.014240,21888
0.014263,21916
0.014286,21945
0.014308,21973
0.014331,22001
0.014354,22030
0.014376,22058
0.014399,22086
0.014422,22114
0.014444,22143
0.014467,22171
0.014490,22199
0.014512,22227
0.014535,22255
0.014558,22283
0.014580,22311
0.014603,22339
0.014626,22367
0.014649,22395
0.014671,22422
0.014694,22450
0.014717,22478
0.014739,22506
0.014762,22533
0.014785,22561
0.014807,22589
0.014830,22616
0.014853,22644
0.014875,22672
0.014898,22699
0.014921,22727
0.014943,22754
0.014966,22782
0.014989,22809
0.015011,22836
0.015034,22864
0.015057,22891
0.015079,22918
0.015102,22946
0.015125,22973
0.015147,23000
0.015170,23027
0.015193,23054
0.015215,23081
0.015238,23109
0.015261,23136
0.015283,23163
0.015306,23190
0.015329,23217
0.015351,23243
0.015374,23270
0.015397,23297
0.015420,23324
0.015442,23351
0.015465,23378
0.015488,23404
0.015510,23431
0.015533,23458
0.015556,23484
0.015578,23511
0.015601,23537
0.015624,23564
0.015646,23591
0.015669,23617
0.015692,23643
0.015714,23670
0.015737,23696
0.015760,23723
0.015782,23749
0.015805,23775
0.015828,23801
0.015850,23828
0.015873,23854
0.015896,23880
0.015918,23906
0.015941,23932
0.015964,23958
0.015986,23984
0.016009,24010
0.016032,24036
0.016054,24062
0.016077,24088
0.016100,24114
0.016122,24140
0.016145,24165
0.016168,24191
0.016190,24217
0.016213,24243
0.016236,24268
0.016259,24294
0.016281,24320
0.016304,24345
0.016327,24371
0.016349,24396
0.016372,24422
0.016395,24447
0.016417,24472
0.016440,24498
0.016463,24523
0.016485,24548
0.016508,24574
0.016531,24599
0.016553,24624
0.016576,24649
0.016599,24674
0.016621,24700
0.016644,24725
0.016667,24750
0.016689,24775
0.016712,24800
0.016735,24825
0.016757,24849
0.016780,24874
0.016803,24899
